key,value
FireStream 9270,1341
GeForce GTS 450,1338
Ryzen 3 4300U with Radeon Graphics,1335
Radeon Vega 9 Ryzen 5 Microsoft Surface Edition,1330
Radeon HD 8670D + HD 7600 Dual,1317
Quadro 4000M,1316
FirePro M5950,1314
Radeon Vega 6,1310
Radeon HD 4870 X2,1309
Radeon R7 PRO A8-8670E,1309
Radeon HD 8790M,1305
Tesla M2070-Q,1305
Videocard Name,"Passmark G3D Mark
(higher is better)"
GeForce GT 750M,1304
GeForce 930MX,1303
TENSOR 1.0 Driver Intel HD 630,1299
Radeon Vega 9 Ryzen 5 3550H,1287
Radeon R7 A370,1281
FirePro V5900,1280
Radeon Vega 8 Ryzen 5 3450U,1278
FirePro 3D V8750,1271
Radeon RX Vega 10 Ryzen 7 PRO 3700U w/,1271
Radeon HD 8570D + HD 6670 Dual,1260
Intel UHD Graphics 630,1259
Radeon HD 7560D + HD 7600 Dual,1258
Intel Iris 540,1251
GeForce GTX 280,1244
Radeon 630,1244
Quadro 2000 D,1239
Radeon HD 8570D + 6570 Dual,1239
Radeon HD 6770,1238
Radeon HD 7660D + 6670 Dual,1238
Radeon HD 7560D + HD 6570 Dual,1237
Radeon R7 + R5 340 Dual,1234
Radeon R7 + R7 250 Dual,1232
Radeon Vega 6 Ryzen 3 PRO 3300U w/,1232
FirePro 3D V5800,1231
GeForce GTX 460M,1231
GeForce GTX 260,1226
GeForce GTX 760A,1226
Radeon HD 7730,1224
Radeon HD 8670D + HD 6670 Dual,1221
Quadro FX 5800,1219
GeForce GTX 560M,1218
Radeon Vega 6 Ryzen 3 3300U,1216
Radeon HD 8790M / R9 M290X,1210
GeForce GT 650M,1207
FirePro 3D V8700,1206
Intel Iris Pro 5200,1206
GeForce GPU,1205
N16P-GX,1204
Radeon HD 7660D + 7540D Dual,1204
Radeon R9 M270X,1204
GeForce GT 745A,1201
Radeon RX Vega11 Ryzen 7 Microsoft Surface Edition,1201
Radeon HD 7750M,1191
Radeon R7 +8G,1190
GeForce GTX 295,1188
FirePro V5800,1184
GeForce GT 640,1183
GeForce 840A,1179
Radeon R7 A10-7870K,1179
Videocard Name,"Passmark G3D Mark
(higher is better)"
Radeon R7 Opteron X3421,1168
FireStream 9250,1164
Radeon Ryzen Embedded V2516,1163
Quadro K620M,1162
Radeon HD 5750,1162
Barco MXRT 5400,1161
NVS 810,1161
Intel HD P630,1160
Intel Coffee Lake UHD,1158
Firepro W4190M,1156
Intel HD P530,1152
Quadro M500M,1152
Radeon Ryzen 3 7330U,1147
GeForce 940A,1144
GeForce 930A,1139
Radeon HD 8850M / R9 M265X,1139
GeForce 830A,1138
Radeon R7 A10-9700E RADEON,1137
Radeon HD 4850 X2,1132
Radeon HD 7560D + 6670 Dual,1130
Radeon R7 + R7 200 Dual,1128
Radeon HD 8650G + 7700M Dual,1126
Radeon HD 7660D + 7500 Dual,1121
FirePro M4170,1119
Radeon R7 A12-9800 RADEON,1118
GeForce 940M,1116
Intel HD 630,1114
Radeon 625,1114
Radeon R9 M275,1114
Intel UHD Graphics 710,1102
Quadro 2100M,1100
Radeon HD 7660D + 6570 Dual,1100
Radeon R7 430,1100
Radeon R7 M460,1099
Radeon R5 PRO A6-9500 2C+6G,1096
Mobility Radeon HD 5870,1092
GeForce GTX 850M - MODDED,1091
GeForce GT 545,1090
Radeon R7 250,1089
GeForce GT 745M,1088
Quadro K1100M,1084
MIRRORV3,1080
Radeon R7 M465,1080
Barco MXRT 5450,1079
GeForce 920MX,1079
GeForce 840M,1075
Radeon HD 8450G + 8600/8700M Dual,1070
Radeon 535,1069
Radeon HD 7660D + 7670 Dual,1061
Videocard Name,"Passmark G3D Mark
(higher is better)"
Radeon HD 7520G + 7700M Dual,1060
Firepro M4100,1059
Radeon Vega 3 Athlon 3000G,1056
Radeon R9 M265X,1054
OPAL XT/GL,1053
Radeon HD 7670A,1050
GeForce GTX 850A,1049
Radeon R7 A12-9730P RADEON,1047
Radeon R7 + R7 240 Dual,1045
Radeon R7 340,1045
Radeon R7 M350,1042
Radeon HD 8570D + 6670 Dual,1039
Intel UHD Graphics 620,1036
Radeon HD 8570D + HD 8570 Dual,1032
Radeon HD 8600/8700M,1029
Radeon R7 + R5 330 Dual,1028
Radeon HD 6750,1020
Radeon HD 8670D + R7 240 Dual,1020
Quadro K2000M,1017
FirePro W4170M,1016
Radeon HD 6700M,1016
GeForce 930M,1014
Radeon R5 A6-9500E 2C+4G,1014
Quadro 3000M,1009
Radeon HD 7690M XT,1009
Radeon Vega 3 Mobile,1009
Radeon R7 M260X,1006
GeForce 830M,1005
Radeon HD 7690M,1003
Radeon HD 7660G + HD 7500/7600 7500/7600 Dual,1002
Radeon HD 7660G + HD 7500M/7600M Dual,999
Radeon HD 8570D + R7 200 Dual,999
Radeon HD 7640G + HD 8750M Dual,996
Quadro FX 4800,995
Intel HD 530,993
Radeon 530,993
Radeon R7 A265,993
Radeon HD 7560D + 7570 Dual,985
Radeon HD 8690M,984
Radeon R5 340,984
"Radeon R5 PRO A6-8570 R5, 8 COMPUTE CORES 2C+6G",984
Radeon Ryzen 5 3450U,983
Radeon HD 7560D + 7560D Dual,982
Radeon R7 A10-7850K,979
Radeon R7 PRO A10-9700E,978
FirePro V4900,977
Radeon R5 A10-9630P 4C+6G,977
Quadro 2000D,975
Radeon HD 8670D + 8570 Dual,974
Videocard Name,"Passmark G3D Mark
(higher is better)"
Radeon HD 8850M,973
Radeon R6 A10-9600P 4C+6G,970
Radeon HD 7660G N HD 7660G + HD 7700M N HD 7700M D,966
Radeon R7 PRO A12-8870E,966
Radeon HD 6770M,964
Radeon HD 8570D + R7 240 Dual,963
Qualcomm Adreno 690 GPU,962
Radeon HD 8570,962
Radeon R7 PRO A8-9600,962
Radeon R6 Opteron X3418,955
Radeon R5 430,952
Radeon R7 M445,952
Radeon HD 8570 + HD 7660D Dual,949
Radeon HD 8670D + R7 200 Dual,949
Quadro CX,947
Radeon HD 6670/7670,945
Radeon HD 7640G + 7690M Dual,945
Radeon R7 PRO A10-8850B,945
Radeon HD 8750M,944
Quadro 2000,942
Radeon HD 7660D + R7 240 Dual,941
Radeon R7 A12-9800E RADEON,940
Radeon R9 M375,940
Radeon HD 6750M,937
Radeon HD 4850,936
Radeon R7 PRO A12-9800E,936
Radeon HD 7560D + HD 8570 Dual,935
Radeon R7 PRO A12-9800,933
Radeon HD 7660G + 7730M Dual,931
Radeon R7 240 + HD 8670D Dual,930
FirePro M4150,928
Intel HD Graphics 620,927
Intel Iris Pro 6100,925
Radeon R7 PRO A12-8870,919
GeForce GT 645M,917
Radeon R7 240 + HD 8570D Dual,917
Radeon R7 A10-9700 RADEON,916
Radeon R7 A10 PRO-7850B,914
GRID M10-0Q,913
GeForce GT 640M,912
GRID K220Q,912
Radeon R7 A8-8650,912
GRID M6-0B,911
Radeon 6750M,911
Intel Iris 6100,907
Radeon R7 A8-7500,907
Radeon R7 A10-7860K,906
Radeon HD 8550G + 7600M Dual,901
"Radeon R5 A6-9500 RADEON R5, 8 COMPUTE CORES 2C+6G",901
Videocard Name,"Passmark G3D Mark
(higher is better)"
Barco MXRT 2600,900
Barco MXRT 7400,900
Radeon 620,897
Radeon R7 + R5 Dual,897
7900 MOD - Radeon HD 6550D,892
FirePro W2100,892
Intel UHD Graphics 617,887
Radeon HD 4770,887
Radeon Vega 3,886
Radeon R7 + R5 435 Dual A10-9700 RADEON,885
Radeon R7 PRO A10-8770,885
Radeon HD 8650G + 7670M Dual,883
Radeon R7 240,883
Radeon R7 M440,883
Radeon HD 7660G + HD 7730M Dual,881
Radeon R7 A10-8750,878
Radeon E6760,876
GeForce 920A,874
Intel HD 520,871
Radeon R7 G,869
Radeon HD 8570D + HD 6570 Dual,868
Radeon Vega 3 Athlon 300U,868
Mobility Radeon HD 4850,866
Radeon HD 8470D + HD 6450 Dual,862
"Radeon R5 PRO A6-8570E R5, 6 COMPUTE CORES 2C+4G",862
Radeon 520,861
Intel HD 6000,855
Radeon HD 8550G + HD 7600M Dual,854
FirePro 3D V4800,853
Qualcomm Adreno 685 GPU,853
Radeon R5 A6-9500 2C+6G,853
Radeon R7 A8-7500 4C+6G,853
Radeon HD 8500M/8700M,852
Radeon Vega 3 Ryzen 3 3250U,849
Radeon R7 A8-7670K,848
Radeon R5 PRO A6-8570 2C+6G,847
Radeon Vega 3 Ryzen 3 3200U,847
Radeon HD 4830,845
GeForce GT 445M,843
Radeon R5 435,840
GeForce GT 635,839
FireGL V8600,838
Radeon HD 8470D + 6570 Dual,837
Radeon HD 8670D + R5 235 Dual,836
Radeon HD 6650A,835
Radeon R7 A8-9600 RADEON,834
Radeon HD 7560D + 6570 Dual,833
Radeon HD 7670,833
Radeon Ryzen 3 3250U,833
Videocard Name,"Passmark G3D Mark
(higher is better)"
Radeon HD 7520G + HD 7500/7600 Dual,832
"Radeon R5 PRO A6-9500 R5, 8 COMPUTE CORES 2C+6G",832
Radeon HD 7660G + 7600M Dual,831
Radeon HD 8650G + 8600/8700M Dual,831
Radeon Vega 3 Athlon Silver 3050U,831
Intel HD 5200,830
GRID M60-0Q,827
GeForce GT 730,825
"Radeon R5 A10-9630P RADEON R5, 10 COMPUTE CORES 4C",825
Radeon HD 7640G N HD 7640G + HD 7600M N HD 7600M D,824
Radeon HD 3850 X2,822
GeForce GT 730M,821
Radeon HD 7540D + 7500 Dual,821
Radeon R7 A8-7680,821
Radeon HD 8550G + HD 8750M Dual,819
Radeon HD 8650G + HD 7600M Dual,819
Radeon R7 A10 Extreme Edition,816
Radeon R7 FX-8800P,816
Radeon R7 M260DX,816
Radeon 535DX,813
Radeon R7 A10 PRO-7800B,813
Radeon R9 M280X,813
Radeon HD 8670D + 7000 Dual,811
Radeon R7 PRO A10-8770E,810
Radeon R7 PRO A10-9700,810
Radeon HD 6800M,808
Radeon HD 8550G + 8600/8700M Dual,802
Radeon R5 M435,801
Radeon HD 8650G + HD 8790M Dual,799
Radeon R7 A10-7700K,799
GeForce 9800 GX2,797
Radeon HD 8650G N HD 8650G + HD 8600/8700M Dual,796
Radeon HD 8550G + 8750M Dual,795
Radeon R8 M445DX,795
Quadro FX 3800,794
Quadro K1000M,789
GeForce GT 740M,788
Radeon HD 5670,788
A40-6Q,787
Radeon HD 8650G + 8750M Dual,786
GeForce 825M,783
Radeon R7 A8-7600,782
Radeon R7 A365,781
Radeon R7 PRO A6-9500 2C+6G,781
Quadro 2000M,780
Radeon HD 8650G + HD 8750M Dual,778
Radeon HD 7660G + HD 7700M Dual,777
Radeon R7 A10-7890K,777
GeForce GT 440,775
Videocard Name,"Passmark G3D Mark
(higher is better)"
Radeon HD 7640G + 7500M/7600M Dual,775
Mobility Radeon HD 5000,773
Radeon HD 7600M + 7600M Dual,773
Radeon HD 8650G N HD 8650G + HD 8570M Dual,773
Radeon R7 A10-8850,773
GeForce 730A,771
Radeon R5 PRO A6-9500E 2C+4G,770
GeForce 9800 GTX,769
Radeon HD 4810,769
Quadro K420,768
Radeon R7 M365X,768
Intel UHD Graphics 615,764
Mobility Radeon HD 5850,763
Radeon HD 8650G + HD 8600/8700M Dual,763
Radeon HD 6450 + 8470D Dual,762
Quadro K600,761
Radeon HD 7660G + HD 7500/7600 Dual,760
Radeon HD 6650M,759
Radeon Vega 3 Ryzen Embedded R1505G,759
Radeon HD 7660G + HD 8500M Dual,758
Radeon HD 7660G + 7700M Dual,757
Radeon HD 8650G + HD 8600M N HD 8600M Dual,757
Radeon R7 PRO A10-8750B,757
Quadro 1100M,755
Radeon HD 7640G + 7450M Dual,754
Radeon HD 8570D + HD 7000 Dual,753
Intel Iris 5100,751
Radeon R7 A12-9720P RADEON,750
Radeon R7 M270,750
IncrediblE HD 4600,749
Radeon M535DX,749
Radeon HD 7640G + 7650M Dual,747
Radeon HD 7660G + HD 8600/8700M Dual,747
Radeon HD 8670D + R5 330 Dual,746
Radeon HD 7660G + 7610M Dual,745
Radeon HD 7660G + 7670M Dual,743
Radeon R5 235 + HD 7560D Dual,743
GeForce GT 730A,742
Radeon HD 8650G + 7600M Dual,741
Radeon R7 FX-9800P RADEON,740
GeForce GT 340,738
Intel Poison Ivy,738
Radeon HD 7670M + 7670M Dual,738
Radeon R5 235 + HD 8570D Dual,737
Radeon R7 A8-7650K,737
Radeon R7 PRO A8-8650B,735
Radeon HD 6670,733
Radeon R5 A10-9620P 4C+6G,731
Radeon HD 7550M/7650M,728
Videocard Name,"Passmark G3D Mark
(higher is better)"
Radeon R7 A12-9700P RADEON,728
GeForce 920M,727
GRID K140Q,727
Intel HD 615,727
Intel UHD Graphics 610,723
Radeon HD 7660G N HD 7660G + HD 7600M N HD 7600M D,722
Radeon HD 8650G + R5 M200 Dual,722
NVS 510,721
Quadro K610M,721
Radeon HD 7730M,721
Asus GTX 650 FML II EC-EGPU,720
Mobility Radeon HD 4870,719
Radeon HD 7540D + 6570 Dual,719
Radeon HD 8670D + HD 7000 Dual,718
Radeon HD 8470D + 6450 Dual,717
Radeon HD 8650G + HD 8570M Dual,716
Radeon Athlon Gold 3150U,715
Radeon HD 7660G + HD 8670M Dual,711
Radeon HD 3870 X2,708
Radeon R7 A10-7800,708
Radeon HD 6550A,707
Radeon R7 PRO A12-9800B,707
Radeon HD 7660G + HD 7670M Dual,706
Radeon R7 PRO A10-9700B,706
Radeon HD 7640G + 7600M Dual,705
Radeon HD 7640G + HD 7600M Dual,704
Radeon HD 7660G N HD 7660G + HD 7670M Dual,704
Radeon R5 A6-7480,704
"Radeon R5 A10-9600P RADEON R5, 10 COMPUTE CORES 4C",702
Intel HD 610,700
Radeon HD 7570M/HD 7670M,699
"Radeon R5 A10-9620P RADEON R5, 10 COMPUTE CORES 4C",699
TRINITY DEVASTATOR MOBILE,699
Radeon HD 8730M,698
Radeon R5 PRO A10-8730B 4C+6G,695
Radeon R5 PRO A6-9500B 2C+4G,693
Radeon HD 7640G + 7700M Dual,690
Radeon R5 PRO A6-8530B 2C+4G,689
Radeon HD 7640G + 8600/8700M Dual,688
Radeon HD 8650G + R5 M230 Dual,686
GeForce GT 630,685
Radeon HD 8550D,685
GeForce GT 530,684
Radeon HD 6630M,684
GRID P40-3Q,681
Radeon HD 7640G N HD 7640G + HD 7670M Dual,679
Radeon HD 8650G N HD 8650G + HD 8600M N HD 8600M D,679
GeForce GTS 160M,678
Radeon HD 7640G + HD 8670M Dual,677
Videocard Name,"Passmark G3D Mark
(higher is better)"
Quadro FX 4700 X2,676
Radeon HD 8610G + R5 M200 Dual,676
Radeon R8 M535DX,670
Radeon Vega 3 3020e,670
GeForce GT 640M LE,669
Radeon R7 A8 PRO-7600B,669
GeForce GT 740A,667
GeForce GTS 360M,666
FirePro M7740,665
Radeon HD 7640G + HD 8500M N HD 8500M Dual,665
Radeon HD 8550G + 8690M Dual,664
"Radeon R5 A6-9500E RADEON R5, 6 COMPUTE CORES 2C+4",664
GeForce GT 555M,662
FireGL V7700,660
Radeon HD 5600/5700,660
Radeon HD 2900 XT,659
Radeon R7 M340,659
Radeon R5 PRO A8-9600B 4C+6G,658
GeForce GT 140,657
Radeon R7 A360,657
Radeon HD 7640G + 8750M Dual,654
Radeon HD 8550G + HD 8600/8700M Dual,654
Radeon HD 8650G + 8570M Dual,654
Radeon HD 7520G + HD 8750M Dual,651
GeForce GTX 285M,650
GRID K1,650
SUMO 9640,650
FirePro V3900,649
Radeon R5 M430,648
FireStream 9170,647
Radeon HD 6670 + 6670 Dual,646
Radeon HD 8610G + HD 8500M Dual,645
Intel HD P4600/P4700,644
Radeon HD 7640G + 7670M Dual,644
Radeon HD 7540D + HD 6450 Dual,643
GeForce 8800 Ultra,642
"Radeon R5 PRO A10-8730B R5, 10 COMPUTE CORES 4C+6G",642
Intel HD 5600,639
Radeon HD 7640G + 7400M Dual,637
Radeon HD 8450G + 8750M Dual,637
Radeon R5 PRO A6-8570E 2C+4G,637
GeForce 9800 S,635
Radeon HD 8650G + 8670M Dual,635
Radeon HD 8650G + HD 7670M Dual,634
GeForce GT 710,633
NVS 5400M,633
Radeon HD 7660D + HD 7000 Dual,633
Radeon HD 7610M,632
Intel HD 4600,631
Videocard Name,"Passmark G3D Mark
(higher is better)"
Intel HD 515,631
Radeon Athlon Silver 3050U,630
Radeon HD 7640G + HD 7700M N HD 7700M Dual,630
Radeon HD 7660G + 7470M Dual,630
Radeon HD 8510G + HD 8500M Dual,629
GRID K160Q,628
Radeon HD 2900 PRO,627
Radeon HD 7640G + 7500/7600 Dual,627
Radeon HD 8650G + 8500M Dual,626
Intel HD 510,623
Radeon HD 7520G + HD 8600/8700M Dual,623
GeForce 810A,622
Radeon HD 7640G + HD 7400M Dual,621
Radeon R6,621
Radeon HD 8570 + 8670D Dual,620
Radeon HD 7570,619
Radeon HD 8550G + R5 M200 Dual,619
Radeon R5 A10-9600P 4C+6G,619
Radeon HD 8550G + 8600M Dual,617
GeForce GTS 250,616
Radeon HD 7500G + 7500M/7600M Dual,616
FireGL V7600,615
Quadro FX 3800M,615
Radeon HD 7660G + HD 7600M Dual,615
GeForce 720A,614
Radeon HD 8650G + 8600M Dual,613
Radeon Vega 3 Athlon 320GE,613
GeForce GT 720,611
Radeon HD 8550G N HD 8550G + HD 8600M N HD 8600M D,611
7900 MOD - Radeon HD 6520G,610
GeForce GT 735M,610
Quadro K510M,610
Qualcomm Adreno 680 GPU,610
Radeon HD 8610G + 8500M Dual,610
Radeon Vega 3 Athlon Gold 3150U,610
GeForce 9800 GTX/9800 GTX+,608
Radeon HD 7640G + HD 8500M Dual,607
Radeon HD 8650G + HD 8600M Dual,606
"Radeon R5 A6-9400 RADEON R5, 6 COMPUTE CORES 2C+4G",605
Radeon R6 M255DX,605
Intel HD P4600,604
"Radeon R6 PRO A8-8600B R6, 10 Compute Cores 4C+6G",604
Radeon HD 8550G + 8500M Dual,602
GeForce GT 720A,600
Radeon HD 8610G + 8670M Dual,599
Radeon R8 M365DX,599
Matrox C420 LP PCIe x16,597
Radeon R7 PRO A12-8800B,597
GeForce GT 430,596
Videocard Name,"Passmark G3D Mark
(higher is better)"
Radeon HD 8510G + 8500M Dual,596
GeForce 8800 GTS 512,595
GeForce 8800 GTX,595
Radeon HD 7640G + 7470M Dual,595
Radeon R5 M330,595
Radeon R7 PRO A12-8830B,595
Radeon HD 8550G + HD 8600M Dual,593
GeForce 910M,591
Radeon HD 7520G + 7600M Dual,591
Radeon HD 7640G + HD 7700M Dual,589
Radeon HD 7520G + 7610M Dual,588
Radeon HD 7660G + 7400M Dual,588
Radeon HD 8610G + 8600M Dual,588
Radeon HD 7660G + 8670M Dual,587
Radeon HD 7640G + HD 8600/8700M Dual,586
Radeon R5 A6-8500P,586
Radeon HD 7640G + 8500M Dual,585
Radeon HD 8650G + HD 8670M Dual,585
GeForce GT 820M,584
GeForce GT 550M,583
Intel HD 5500,582
Radeon HD 7520G + 7500/7600 Dual,582
Quadro 1000M,579
Radeon HD 8550G + 8670M Dual,579
Radeon HD 8450G + R5 M230 Dual,578
GeForce GTS 240,577
Radeon HD 7620G + 8670M Dual,577
Radeon HD 8610G + HD 8670M Dual,577
Intel Skylake HD DT GT2,576
Radeon R5 A240,576
GeForce GTX 280M,575
Radeon HD 7650A,575
Radeon HD 7520G + HD 7700M Dual,574
Radeon HD 7520G N HD 7520G + HD 7500/7600 7500/760,574
Radeon HD 8450G + HD 8670M Dual,574
Radeon R5 420,574
Intel HD 5000,573
Quadro 500M,570
Radeon R6 + R7 M265DX Dual,570
GeForce GTS 250M,569
Radeon HD 7560D + 6450 Dual,568
GeForce GT 635M,567
Radeon HD 3870,566
Radeon HD 6610M,565
Radeon R7E,564
Radeon HD 7560D + R5 235 Dual,563
Radeon HD 6570,562
"Radeon R5 PRO A8-9600B R5, 10 COMPUTE CORES 4C+6G",562
Radeon HD 7640G + R5 M200 Dual,559
Videocard Name,"Passmark G3D Mark
(higher is better)"
Radeon HD 7640G + 8570M Dual,558
Radeon HD 7640G + 8670M Dual,558
Radeon HD 8550G + HD 8500M Dual,558
Radeon R7 M360,558
GeForce 820A,557
Radeon HD 8650G,555
GF117,554
Radeon R7 7850A10-7850K,551
FireGL V8650,550
Radeon R5 M335,548
GeForce GT 630M,547
Mobility Radeon HD 3870,547
FirePro 3D V5700,546
Quadro 600,546
Radeon HD 8550G + HD 8670M Dual,546
FirePro 3D V7750,545
Radeon HD 8450G + 8600M Dual,545
Mobility Radeon HD 5570,544
Radeon HD 7520G + HD 7400M Dual,544
Quadro FX 2700,543
Radeon HD 7600G + HD 8670M Dual,543
Radeon HD 7520G + 7470M Dual,542
Radeon HD 8670D,542
Quadro FX 5600,539
Qualcomm Adreno 675 GPU,539
Radeon R6 PRO A10-8700B 4C+6G,538
Radeon R7 M265,537
Radeon HD 7560D + HD 7000 Dual,534
GRID K180Q,533
Radeon R6 A10-8700P,533
Radeon HD 8550G + 8570M Dual,532
RADEON HD6530D,531
Radeon R6 PRO A8-8600B 4C+6G,531
Radeon HD 8550G + HD 8570M Dual,529
GeForce GT 240,528
Radeon HD 7600G N HD 7600G + HD ON HD Dual,526
Radeon HD 7640G + 6400M Dual,526
Radeon R5 240,525
GeForce GT 425M,523
Radeon HD 7520G + 7670M Dual,523
Radeon HD 7660D + R5 235 Dual,523
Radeon R5 M255,522
NVS 5200M,521
Radeon HD 8670M,520
"Radeon R6 PRO A10-8700B R6, 10 Compute Cores 4C+6G",520
GeForce GT 435M,519
Intel HD 4400,519
Radeon HD 7640G + HD 7670M Dual,518
IncrediblE HD 4000,517
Videocard Name,"Passmark G3D Mark
(higher is better)"
Radeon Vega 3 Athlon Silver 3050e,517
Intel HD P4000,516
Radeon R5 330,512
Mobility Radeon HD 4830,511
Radeon HD 7640G + 7610M Dual,510
GeForce 615,509
Radeon HD 7600G + HD 7550M Dual,509
Radeon HD 7620G + 8600M Dual,508
Radeon R5 PRO A6-8500B 2C+4G,508
Radeon HD 7620G + HD 8670M Dual,507
GeForce 820M,506
GeForce 9800 GTX+,506
Radeon HD 7660D,506
Radeon Vega 2,506
Radeon 6600M,505
GeForce GTS 150M,504
GeForce 8800 GT,503
Radeon HD 8450G + HD 8750M Dual,503
Mobility Radeon HD 5730,498
Radeon R7 M265DX,498
TRINITY SCRAPPER MOBILE,498
Radeon HD 7500G + 7550M Dual,497
SUMO 964A,497
ASUS EAH4870x2,496
GeForce 9600 GT,496
Radeon HD 7520G + HD 7670M Dual,495
GeForce GT625M,493
Radeon HD8530M,490
GeForce GT 540M,488
Radeon HD 8670D N HD 8670D + HD 8670D Dual,488
Radeon HD 8550G + R5 M230 Dual,487
Radeon R4E,487
Radeon HD 7520G + 7400M Dual,486
Radeon HD 5570,482
Radeon HD 8690A,481
Radeon HD 8610G + HD 8600M Dual,480
Mobility Radeon HD 5000 Serisi,478
Radeon 3020e,478
Mobility Radeon HD 3870 X2,477
Radeon HD 7600G + HD 7500M/7600M Dual,476
Radeon HD 7670M,476
Radeon HD 7640G + HD 8570M Dual,474
Radeon HD 8450G + 8670M Dual,474
Radeon R6 A8-8600P,474
Radeon R7 M260,474
GeForce 9800 GT,473
FirePro 3D V3800,472
Radeon HD 7660G,471
Radeon HD 8570D + R5 235 Dual,470
Videocard Name,"Passmark G3D Mark
(higher is better)"
Radeon R5 M420,470
Radeon R5 M315,469
GeForce GT 720M,467
GeForce 710A,466
Quadro FX 1800M,466
Quadro FX 3600M,466
Radeon HD 7660D + 7470 Dual,465
SUMO 9644,465
FirePro V5700,464
Radeon HD 7550M,464
Mobility Radeon HD 4670,463
Radeon HD 7560D,463
Radeon HD 7640G,463
GeForce 710M,462
GeForce 8800M GTX,462
GeForce 9800M GS,460
Radeon HD 7660G + HD 7600M N HD 7600M Dual,460
GeForce GT 525M,458
Intel HD Family,456
Quadro FX 3700M,456
GeForce 705M,455
GeForce 9800M GTX,454
GeForce GT 320,453
Radeon HD 7520G + 7650M Dual,453
GeForce 800M,452
Radeon HD 8450G + HD 8600M Dual,452
GeForce GT 625M,451
Radeon HD 7620G N HD 7620G + HD 8600M N HD 8600M D,451
Mobility Radeon HD 5650,450
GeForce GT 710M,447
Radeon HD 7520G + HD 7600M Dual,447
PHDGD Ivy 5,445
Radeon HD 7660G + 8600M Dual,445
GeForce 8800 GTS,444
Quadro 410,443
Radeon HD 7620G + HD 8600M Dual,442
Radeon HD 7650M,441
GeForce GT 620M,440
Radeon HD 7600G + HD Dual,435
Radeon HD 8410G,435
Radeon HD 3850 AGP,432
Radeon HD 8570D,432
Radeon HD 7570M,430
Quadro FX 4600,429
GeForce 800A,428
Radeon HD 8610G,428
Surface Duo Adreno 640 GPU,425
Radeon R5 M240,424
FirePro M2000,423
Videocard Name,"Passmark G3D Mark
(higher is better)"
Radeon HD 7600G + 7550M Dual,423
Radeon HD 7640G + HD 7500/7600 Dual,423
Quadro FX 2800M,422
Radeon HD 7640G N HD 7640G + HD 8570M Dual,422
RADEON HD6410D,422
Radeon HD 8570M,421
Radeon R5 M320,420
Intel 4th Generation Haswell HD,419
GeForce GT 420M,417
GeForce GT 330,414
GeForce GT 420,414
Radeon R5 M230,413
GeForce 810M,410
"Radeon R5 PRO A6-9500B R5, 6 COMPUTE CORES 2C+4G",408
GeForce GT 335M,407
GeForce GTS 350M,407
Radeon HD 7470M,407
Radeon HD 8550G,407
Radeon HD 7640G + HD 7600M N HD 7600M Dual,406
RADEON E4690,405
Radeon HD 6550D,405
Radeon HD 7600G + 7500M/7600M Dual,405
Radeon HD 3850,404
Radeon HD 8500M,404
Quadro FX 1800,403
GeForce 9800M GTS,401
Mobility Radeon HD 4650,401
Radeon HD 8650D,396
Radeon R5 Opteron X3216,394
IncrediblE HD,389
Intel HD 5300,389
Radeon HD 7600G + 7450M Dual,389
GeForce GTX 260M,388
GeForce 7900 GTX,387
GeForce 8800M GTS,382
GeForce 9800M GT,381
GeForce GT 130,381
Radeon HD 4670,380
Radeon HD 6490M,377
Radeon HD 5550,376
Radeon HD 7520G + 8750M Dual,376
Radeon HD 7600G + 6400M Dual,376
PHDGD Ivy 4,374
Quadro FX 3700,374
Radeon HD 8570D + HD8490 Dual,374
GeForce GT 610M / GT 620M / GT 710M / GT 720M / GT,368
Intel UHD Graphics 605,368
Matrox Millennium P690 PCIe x16,366
Mobility Radeon HD 3850,365
Videocard Name,"Passmark G3D Mark
(higher is better)"
Radeon HD 8510G,365
Radeon HD4670,365
Radeon HD 7520G N HD 7520G + HD 7600M N HD 7600M D,364
Radeon HD 7660G + HD 8600M Dual,363
Radeon HD 8450G,363
GeForce GT 620,362
Radeon 3015e,360
Radeon HD 8470D,360
Radeon Vega 3 Ryzen Embedded R1305G,358
Radeon HD 6620G,355
Radeon HD 7500G + HD 7500M/7600M Dual,355
Mobility Radeon HD 565v,353
Radeon HD 6480M,353
Radeon HD 7620G,352
Radeon HD 7580D,350
Intel HD 505,346
Quadro FX 2700M,346
GeForce 7950 GT,344
FireGL V5600,341
FirePro 3D V3750,341
Intel HD 4000,341
Radeon R5 235,341
Radeon HD 8310E,340
GeForce 9600 GSO,339
Radeon HD 7660D + HD 7400 Dual,339
GeForce GT 625,338
Radeon HD 8570D + HD 8470 Dual,338
GeForce GT 705,336
FirePro RG220,335
Radeon HD 7600G + 8500M/8700M Dual,333
Radeon HD 6530D,332
Radeon R5 310,331
GeForce 8800 GS,330
Radeon HD 7540D,330
GeForce 9600 GSO 512,329
Radeon HD 7450M,329
Radeon R4,329
Radeon HD 7600G + HD 7400M Dual,328
Intel UHD Graphics 600,326
GeForce GT 120 / 9500 GT,324
GeForce GT 230,323
Radeon E6460,323
FirePro V3800,320
Radeon HD 8370D,320
RADEON HD6370D,320
GeForce 240M GT,319
Mobility Radeon HD 560v,318
Radeon HD 7520G,314
Radeon HD 7520G + 8600/8700M Dual,311
